Sample	fws	bin_0	bin_1	bin_2	bin_3	bin_4	bin_5	bin_6	bin_7	bin_8	bin_9
VVX01686	0.98532254	7.3678435e-05	0.0013206605	0.003192955	0.0041137305	0.00731074	0.008795403	0.004313722	0.007128959	0.005879724	0.0064796642
VVX01688	0.995444	8.498036e-06	0.0005491543	0.0011081424	0.0031664905	0.002480093	0.0055571278	0.002247272	0.00077143766	0.0007909561	0.0
VVX01689	0.99800414	7.1336526e-06	0.00040275918	0.0002737426	0.00031706181	0.0	0.000429909	0.0028014549	0.0013235348	0.0008565198	0.0
VVX01690	0.5135983	0.0025996694	0.059249096	0.10252919	0.13369137	0.16920127	0.19158278	0.21688743	0.22932698	0.23905826	0.24261735
VVX01692	0.7006687	0.0016531125	0.035007082	0.06017777	0.08127419	0.10026378	0.10883502	0.13660087	0.15216836	0.13729799	0.15794793
VVX01694	0.997138	9.5997175e-06	9.037134e-05	0.0006078746	0.0010851296	0.002665471	0.005343025	9.703642e-05	0.0004985799	0.0	0.0
VVX01695	0.99528927	1.8451059e-05	0.00034314272	0.0009987868	0.0017437642	0.0034932513	0.0055882083	0.0009840997	0.0010678634	0.0012479739	0.0009825261
VVX01696	0.9997032	6.369161e-06	0.00021286939	0.00051433407	0.0	8.616728e-05	0.00045908237	9.464459e-05	0.0	0.0	0.0
VVX01697	0.73713565	0.0015402366	0.034822248	0.056919098	0.075524	0.089868784	0.111439735	0.10948527	0.1306087	0.123517945	0.1287083
VVX01698	0.51853824	0.0024469763	0.059744302	0.09961748	0.13360338	0.16616924	0.1847058	0.21052322	0.22904783	0.23854731	0.24466018
VVX01702	0.99893004	5.19378e-06	0.00038313365	0.00034343748	0.0	9.66288e-05	0.00040629713	0.0018889273	0.0	0.00054877537	0.0
VVX01703	0.6357351	0.0021378302	0.052821204	0.07635257	0.10602828	0.1296015	0.15023926	0.16380242	0.17263635	0.16859269	0.17703122
VVX01704	0.97070813	0.00016735207	0.00436066	0.0054359254	0.012038124	0.010276231	0.012700218	0.0131078	0.012981086	0.017049639	0.009580768
VVX01706	0.8939228	0.0006850142	0.015675323	0.026603332	0.036301535	0.038738012	0.048901297	0.037995465	0.04634155	0.051825915	0.05122162
VVX01707	0.4102493	0.0035699809	0.07546199	0.12934089	0.16642685	0.20190433	0.24076784	0.25590935	0.27243716	0.2742706	0.3108001
VVX01709	0.9953567	9.221301e-06	0.0006623183	0.0009899051	0.0028892818	0.0024058765	0.005581426	0.002260796	0.0009622332	0.0005448354	0.00049443846
VVX01710	0.72227645	0.0015251726	0.03532363	0.05976539	0.08458846	0.096459255	0.10477102	0.12687923	0.13306208	0.12484433	0.14341381
VVX01711	0.39897716	0.00325271	0.07409205	0.12308322	0.18173093	0.18931875	0.23955594	0.28258365	0.27305603	0.29613903	0.2992502
VVX01712	0.89208853	0.0006793926	0.011379335	0.021610072	0.030899957	0.04159807	0.04709735	0.049145088	0.05606631	0.051007174	0.04376792
VVX01713	0.99394	2.103983e-05	0.00046079862	0.000979218	0.0032545193	0.0030508023	0.0070235515	0.0017175261	0.0023937619	0.00042565266	0.0017469644
VVX01714	0.9951595	2.4799227e-05	0.00079600577	0.0013113457	0.00400589	0.0024033044	0.0065044533	0.0005824414	0.00034881837	0.0013723485	0.0007083305
VVX01716	0.99406135	2.1319509e-05	0.0004272264	0.0006506194	0.0026689067	0.0055907997	0.0064345077	0.0022663348	0.00046425717	0.0014593559	0.00093111454
VVX01718	0.63594633	0.0020556296	0.04534122	0.07507641	0.11150308	0.12758923	0.13214402	0.15612933	0.16807522	0.18267477	0.18894854
VVX01719	0.8150912	0.001015281	0.025428243	0.0434349	0.05630968	0.070717975	0.076095685	0.085658185	0.07758967	0.08757518	0.08876737
VVX01720	0.6171088	0.0023104716	0.046530996	0.07642698	0.10942836	0.13064122	0.15114364	0.17446445	0.18821242	0.19540699	0.1743799
VVX01724	0.7430049	0.0015702518	0.03381815	0.055129718	0.07114422	0.08433811	0.11159053	0.11698118	0.11903353	0.118279755	0.12983201
VVX01725	0.97525364	0.00012515552	0.0025384517	0.0034328736	0.00795723	0.008963311	0.008487066	0.009955187	0.010915646	0.010189787	0.016920267
VVX01727	0.84630716	0.00088668056	0.024083363	0.032415725	0.045663625	0.05279857	0.059378162	0.06956221	0.07630052	0.0784049	0.06735741
VVX01729	0.96654344	0.0002505559	0.0050295414	0.008025151	0.010344374	0.013631087	0.013035968	0.012694087	0.014997179	0.015172382	0.018016126
VVX01731	0.9783747	0.00014278537	0.004704093	0.006618343	0.009664049	0.011633622	0.012744007	0.008439134	0.00893146	0.007851081	0.005944842
VVX01732	0.98971856	4.7175563e-05	0.0011754234	0.0022650738	0.0045264266	0.005204001	0.008712294	0.0038617621	0.0028808995	0.0035214277	0.003250125
VVX01734	0.9911124	0.004506354	0.0021050728	0.0027106563	0.0042700735	0.0035061047	0.005398252	0.0025973953	0.0033457247	0.0022728213	0.0049425713
VVX01735	0.995888	2.3434997e-05	0.0007117364	0.000508814	0.0016897554	0.000374183	0.0014168405	0.0031771294	0.0020393613	0.0019125318	0.0015568286
VVX01736	0.9956436	4.982557e-06	0.0010824259	0.0025474126	0.0028445893	0.003117127	0.005173143	0.0020038546	0.00050417235	0.0	0.0
VVX01738	0.59167945	0.002302788	0.05532814	0.09148911	0.118787006	0.13836615	0.16921446	0.18936685	0.18376212	0.20126468	0.19320045
VVX01739	0.9963399	9.94799e-06	0.0010843911	0.0025441314	0.0030059598	0.0027654446	0.0051647574	0.00024006225	0.00035902686	0.0	0.0
VVX01740	0.9942966	3.0612762e-05	0.0007989229	0.0012230349	0.0042965733	0.0032284975	0.003623341	0.00091819686	0.0027084048	0.0022593865	0.0012162509
VVX01741	0.6678135	0.0018722398	0.042958286	0.07114348	0.097797036	0.11613283	0.13346829	0.14874102	0.15242064	0.16097958	0.16396518
VVX01743	0.9984575	9.103507e-06	0.0003388684	0.00034334188	0.0	0.00034526206	0.00034290113	0.0019092025	0.00047476293	0.00068179617	0.0005484595
VVX01744	0.9975252	1.8392375e-05	0.00068059727	0.0005832568	0.0011266407	0.0004918132	0.0011918134	0.0020424742	0.0009184397	0.0008815482	0.0006715477
VVX01746	0.5860684	0.0024507695	0.049483556	0.09137087	0.11770312	0.1400773	0.16947652	0.18051416	0.19455162	0.2027402	0.20508465
VVX01747	0.80894804	0.00095815916	0.02075598	0.040085413	0.05072044	0.05890518	0.06486282	0.08453022	0.092673026	0.09186066	0.11077482
VVX01749	0.5092124	0.0027148798	0.057717618	0.097451806	0.14510804	0.17430443	0.18935615	0.2306707	0.22997586	0.24260178	0.23230347
VVX01750	0.5279815	0.0026973514	0.0647136	0.1022901	0.14712417	0.16510038	0.19484739	0.20239893	0.2073644	0.23152857	0.23641811
VVX01751	0.9964078	1.2886785e-05	0.00042007936	0.00075732224	0.0020517914	0.00023092492	0.0018766898	0.0025019322	0.0012591175	0.0014407416	0.0014601628
VVX01752	0.5199705	0.0026888112	0.05793094	0.094497055	0.13249308	0.16207714	0.17891319	0.21546248	0.23019475	0.23881906	0.24596849
VVX01753	0.9397191	0.00030911298	0.008087125	0.01261994	0.020195395	0.025131885	0.028703714	0.025736172	0.027562266	0.032346766	0.02010851
VVX01755	0.8624639	0.0008402767	0.019768607	0.031551078	0.04859305	0.04337086	0.06456284	0.051565316	0.066167735	0.060346782	0.0697643
VVX01799	0.9959794	2.2873348e-05	0.000716199	0.0014844798	0.0013133838	0.0015486376	0.0013134938	0.0005572195	0.0024982113	0.0017248351	0.0024318502
VVX01806	0.99461013	3.047757e-05	0.00091618556	0.0019947565	0.0039976067	0.004700961	0.0013378125	0.0007640391	0.0017070763	0.00263137	0.0017073507
VVX01812	0.99907714	4.106999e-06	0.0	0.0002711544	0.0	0.0007883354	0.0009791241	0.0	0.0	0.00065944943	0.0003560031
